ID,Title,Location,Salary,Summary
6b98ac6cb7cb43de,창의적인  반려용품  개발자,단짝  천안  동남구,"연봉  25,000,000원  -  30,000,000원",류에  허위사실이  있을  경우  채용이  취소될  수  있습니다.  인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머>  Python|인터넷·IT·통신·모바일·게임>소프트웨어·하드웨어>펌웨어
7fdcd7a7457b1e93,데이터  분석,아프리카TV  경기도  성남,,"의  서비스  이용/소비형태/이상현상과  트렌드  변화가  궁금하신  분  -  B2C서비스  데이터  분석  직군에서  데이터  핸들링  경험이  있으신  분  -  SQL,Excel,R,  Python  등을  이용하여  데이터  추출  또는  분석이  가능하신  분"
69b1380f0d280394,스마트폰  어플리케이션  App  개발에  관심많은  전산팀원,슈카  서울  용산구,,경우  채용이  취소될  수  있습니다.  인터넷·IT·통신·모바일·게임>통신·모바일>스마트폰  어플리케이션(App)|인터넷·IT·통신·모바일·게임>웹프로그래머>  Python|인터넷·IT·통신·모바일·게임>응용프로그래머>Android
1c4f1c0b625f5abd,데이터  사이언티스트  직군  모집,넷마블  서울  구로구,,"요건  -  관련  분야  경력  3년  이상  -  정형/비정형  데이터  분석  및  모델링  가능  -  통계  분석  도구  (R,  Python,  Tensorflow  등)  및  SQL  사용  가능  -  다양한  직군의  사람들과  원활한  커뮤니케이션  및  협업..."
98a0ea3726575729,글로벌주식운용팀  경력사원  안내  (~6/4),삼성자산운용  대한민국,,"량분석(Quantitative  Analysis)을  통한  개별주식  운용  전략  개발  및  운용  경력(필수)  -  Python,  VBA  등의  프로그래밍  언어를  통한  개발  능력  및  MS  SQL  등의  데이터베이스  연계  프로그래밍  경력자..."
3cf01580ba5eb23a,NLP  Researcher,AITRICS  서울,,"Stacks  [Back-end]  Language:  python,  golang  Python  Framework:  Django,  Bottle  [Front...  Language:  python,  golang  Python  Framework..."
f97d8d627c3d7362,Infra  Software  Engineer,Toss  서울  강남구,,"분  -  Software-intensive  system의  구조  설계  경험이  있는  분  -  C,  Golang,  Python,  Javascript  중  하나  이상의  언어에  능숙하신  분  #  우대  사항  -  다양한  기반  기술에  대한  이해도..."
6985dbbbf83fb8c2,RPA  Developer  (  1  year  contract),UiPath  서울,,"object-oriented  programming  (C#,  C++,  VB,  .NET,  Java,  or  Python  preferred).  Those  with  more  experience  may  be  considered..."
a51ca125134e9829,유경피에스지자산운용  주식운용본부  애널리스트,유경피에스지자산운용  대한민국,,"내재가치  분석에  대한  능동적이고  열정적인  자세  4)  우대사항  -  자산운용사/증권사  경력자(인턴쉽  포함),  Python/영어  능통자,  금융관련  자격증  보유자  [지원방법]  1.  제출서류  및  제출기한  -  이력서  :  자유형식..."
2b7c67c7f1fe78ff,PI&CS  Engineer  (Process  Information  &  Co...,3M  4.0  전라남도,,"manufacturing  applications  Experience  in  language  like  C#,  Python,  Java,  Java  Script(one  or  more)  Be  fond  of  learning..."
558b354fc07cb097,생산관리/HW(하드웨어)  개발  정규집,길온  성남  중원구,,"자격요건  인원  [담당업무]1.  의용공학  석사  이상  전공자2.  웨어러블  디바이스  센서  신호처리  알고리즘  개발  :  python,  matlab,  C  paperwork  ,  simulation,  embedded  programming3..."
6a68b4e0dc19995e,SoC  ASIC  설계  엔지니어  (딥러닝  하드웨어  프로세서  개발),딥엑스  성남  분당구,"연봉  40,000,000원  -  100,000,000원","및  Synthesis)  -  Linux,  shell,  tcl,  python,  perl  사용  원활  -  Clock  domain  Crossing에  대한  깊은...  Linux,  shell,  tcl,  python,  perl  사용  원활..."
1bd431b365bb2f77,데이터  분석  전문가,토이스미스  서울  강남구,"연봉  30,000,000원  -  40,000,000원","개발2.  분석  플랫폼  구축  프로젝트에  참여-  데이터의  수집  기획,  테스트,  실행,  개선[자격요건]-  R과  Python  사용  능력-  통계,  데이터  마이닝,  데이터  모델링에  대한  이해  및  경험-  MySQL,  NoSQL  등  데이터..."
4b9507ed5488115e,[기업부설연구소]  SW  개발  정규직,다스코포레이션  경상북도  구미,"연봉  22,000,000원  -  30,000,000원","직무내용]  주업무1.  소프트웨어  개발(java,  python,  C++,  Android,  C#,  IOS,  PHP,  ASP  등)-  연구개발  과제  프로그램  개발-  지역과제  프로그램  개발  [근무시간  및  형태]  주  5일  근무  (오전..."
9c15d2c0cd7b70d8,프론트엔드개발  인공지능바이오제약코스닥기업,서울특별시,,"개선과  신규  서비스의  UI,  기능을  설계  및  개발  ※  지원자격  -  python  개발  경험(기본)  -  non-sql  DB,  sql  DB  중  1개  이상...  사용  경험  -  풀스택  개발자  -  python,  C#  동시  사용  ※  지원방..."
af1b1800c6df998a,침해시도  분석/대응  전문가,이베이  코리아  서울  강남구,,"경험  -  Firewall/IPS/Botnet  탐지  솔루션  구축/운영  경험  -  업무  자동화를  위한  개발  (  Python  등)  스킬  보유  -  Splunk,  Elastic  활용  경험  -  Private/Public  Cloud  환경의..."
d83fc0dd2641f483,전문연구요원  (병역특례)  수시  (AI  /  SW  분야),딥엑스  성남  분당구,"연봉  40,000,000원  -  100,000,000원",요구  능력]  -  ASM/C/C++/  Python  언어  코딩  기술  -  운영체제...  경험  -  Windows/Linux  상에서  C++/  Python  언어  사용  개발  경험  -  C++  /  Python  언어  사용  개발  경험  -  객체지향  설계에...
750c98eeab414ede,Senior  DBA  –  BI  (Korea),FPT  Software  대한민국,,"CSV  Experience  with  other  technologies...  Java,  Python,  .NET,  Node.js,  and  Oracle  APEX.  Skill  requirement:  Ability..."
dfb21d8a8cf9dbb8,[메이저글로벌  컨설팅펌]  -  금융산업  리스크관리  컨설턴트,yesconsulting  서울,,"경험여신  자동심사,  조기경보,  사후관리  등  여신업무  개선(PI)  및  자동화  컨설팅  경험-  SAS,  SQL,  Python,  R  등을  활용한  데이터분석  역량  보유자  우대-  관련  자격증  소지자  (FRM  등)  우대【  전형절차  】서류..."
a7e08cf0511bcd53,배민사업실  Business  Analyst  (3년이상),우아한  형제들  서울  송파구,,"분석에  능숙한  분  -  데이터  분석  결과를  바탕으로  계획을  수립하고  실행한  경험이  있는  분  [우대사항]  -  Python,  Tableau,  R  등  다양한  데이터  분석,  BI  툴  사용  경험이  있는  분  -  다양한  부서와  협업하며..."
281a2bdefadcf4f9,[KSTEC]  RPA  시스템  개발  경력사원,지식시스템  성남  분당구,,통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>.NET|인터넷·IT·통신·모바일·게임>웹프로그래머>  Python|인터넷·IT·통신·모바일·게임>웹프로그래머>HTML·DHTML·mHTML
711f285ff8ff2fc7,백엔드  정규직,블루비커  서울  중구,,"서비스  신규개발,  유지보수,  최적화,  성능  개선-  기술문서  작성-  기획,  프론트엔드와  협업  [자격요건]-  Python  혹은  .NET  전문성  보유-  API,  데이터  통신  설계  가능하신  분-  AWS/Azure  Serverless..."
91d07b599ebcef9c,[웹젠]  데이터분석(경력),웹젠  성남  분당구,,DW  및  BI  경험이  있는  분  ﻿  우대사항  -  Linux  환경에서  Python  언어로의  개발이  가능한  분  -  데이터  분석  및  활용에  관심이  높은  분...  우대사항  -  Linux  환경에서  Python  언어로의  개발이  가능한  분...
dee1c9e840dc5691,Staff  Field  Applications  Engineer,Dolby  서울,,"Dolby’s  ecosystem,  products,  business,  and  customers.  Python  coding  skills.  Interest  in  music,  game/film  audio  or  video..."
